sid,search,"splunk_server","_time","is_realtime",provenance,"api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time"
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5de3e413460206dd6_1654014964.33","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes| eval sid = 'search_props.sid' | `dmc_classify_processes`| eval x=""cpu_usage"" | stats sum(pct_memory) as mem_used sum(normalized_pct_cpu) as cpu_used by process_class| append [| rest splunk_server=local /services/server/status/resource-usage/hostwide | fields cpu_idle_pct mem mem_used | eval mem_idle_pct=round((mem-mem_used)/mem,2)*100 | fields - mem mem_used | eval cpu_system_pct=0 | eval mem_system_pct=0 | transpose | eval process_class=if(column=""cpu_idle_pct"" OR column=""mem_idle_pct"",""Idle"",""Non-Splunk processes"") | rename ""row 1"" as value | eval mem_used=if(column=""mem_idle_pct"" OR column=""mem_system_pct"",value,NULL) | eval cpu_used=if(column=""cpu_idle_pct"" OR column=""cpu_system_pct"",value,NULL) | stats first(cpu_used) as cpu_used first(mem_used) as mem_used by process_class] | eventstats sum(mem_used) as sum_mem_used sum(cpu_used) as sum_cpu_used | eval mem_used=if(process_class=""Non-Splunk processes"",100-sum_mem_used,mem_used) | eval cpu_used=if(process_class=""Non-Splunk processes"",100-sum_cpu_used,cpu_used)","chandana-VirtualBox","1654014964.462208",0,splunkjs,0,0,0,1654014964,8,"manager_7378",0,completed,"0.23800000000000002",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD585b722d98209c0b6_1654014964.34","| rest splunk_server=local /services/server/introspection/indexer | fields average_KBps splunk_server | eval average_KBps=round(average_KBps,2)."" KB/s""","chandana-VirtualBox","1654014964.471894",0,splunkjs,0,0,0,1654014964,1,"manager_7468",0,completed,"0.189",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f05dcaa0aede8a5b_1654014964.36","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes | search search_props.sid=* | stats dc(search_props.sid) AS count by search_props.type | eventstats sum(count) as Total","chandana-VirtualBox","1654014964.474759",0,splunkjs,0,0,0,1654014964,1,"manager_7588",0,completed,"0.165",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD59d799bd682085a3e_1654014964.37","| rest splunk_server=local /services/licenser/pools | rename title AS Pool | search [rest splunk_server=local /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id] | join type=outer stack_id [rest splunk_server=local /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields stack_id stack_quota] | stats sum(used_bytes) as used max(stack_quota) as total | eval usedGB=round(used/1024/1024/1024,2) | eval totalGB=round(total/1024/1024/1024,2)","chandana-VirtualBox","1654014964.483139",0,splunkjs,0,0,0,1654014964,1,"manager_7648",0,completed,"0.181",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57acff4e291500d3a_1654014964.38","| inputlookup dmc_assets | search search_group = ""dmc_group_kv_store""","chandana-VirtualBox","1654014964.498807",0,splunkjs,0,0,0,1654014964,1,"kv-store-role-search",0,completed,"0.113",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD58802ae07734416b1_1654014964.39","| rest splunk_server=local /services/server/introspection/kvstore/collectionstats | mvexpand data | spath input=data | fields splunk_server, ns, size","chandana-VirtualBox","1654014964.507573",0,splunkjs,0,0,0,1654014964,29,"manager_7767",0,completed,"0.134",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1654014964.40","| `dmc_get_all_triggered_alerts(1440)`","chandana-VirtualBox","1654014964.775893",0,splunkjs,0,0,0,1654014964,0,"alerts-fired-search",0,completed,"0.154",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD53842fe4ea22d9b0d_1655716758.3","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes| eval sid = 'search_props.sid' | `dmc_classify_processes`| eval x=""cpu_usage"" | stats sum(pct_memory) as mem_used sum(normalized_pct_cpu) as cpu_used by process_class| append [| rest splunk_server=local /services/server/status/resource-usage/hostwide | fields cpu_idle_pct mem mem_used | eval mem_idle_pct=round((mem-mem_used)/mem,2)*100 | fields - mem mem_used | eval cpu_system_pct=0 | eval mem_system_pct=0 | transpose | eval process_class=if(column=""cpu_idle_pct"" OR column=""mem_idle_pct"",""Idle"",""Non-Splunk processes"") | rename ""row 1"" as value | eval mem_used=if(column=""mem_idle_pct"" OR column=""mem_system_pct"",value,NULL) | eval cpu_used=if(column=""cpu_idle_pct"" OR column=""cpu_system_pct"",value,NULL) | stats first(cpu_used) as cpu_used first(mem_used) as mem_used by process_class] | eventstats sum(mem_used) as sum_mem_used sum(cpu_used) as sum_cpu_used | eval mem_used=if(process_class=""Non-Splunk processes"",100-sum_mem_used,mem_used) | eval cpu_used=if(process_class=""Non-Splunk processes"",100-sum_cpu_used,cpu_used)","chandana-VirtualBox","1655716758.182609",0,splunkjs,0,0,0,1655716758,7,"manager_7411",0,completed,"0.246",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD50d02a1d42c480680_1655716758.4","| rest splunk_server=local /services/server/introspection/indexer | fields average_KBps splunk_server | eval average_KBps=round(average_KBps,2)."" KB/s""","chandana-VirtualBox","1655716758.182967",0,splunkjs,0,0,0,1655716758,1,"manager_7501",0,completed,"0.277",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD550e934a3d0677e74_1655716758.5","| rest splunk_server=local /services/server/status/partitions-space | eval free = if(isnotnull(available), available, free) | stats sum(capacity) as total_capacity sum(free) as total_free","chandana-VirtualBox","1655716758.196959",0,splunkjs,0,0,0,1655716758,1,"manager_7561",0,completed,"0.216",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5a2925de995239ca3_1655716758.6","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes | search search_props.sid=* | stats dc(search_props.sid) AS count by search_props.type | eventstats sum(count) as Total","chandana-VirtualBox","1655716758.206859",0,splunkjs,0,0,0,1655716758,0,"manager_7621",0,completed,"0.227",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD504eb0d3f943ed7c7_1655716758.7","| rest splunk_server=local /services/licenser/pools | rename title AS Pool | search [rest splunk_server=local /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id] | join type=outer stack_id [rest splunk_server=local /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields stack_id stack_quota] | stats sum(used_bytes) as used max(stack_quota) as total | eval usedGB=round(used/1024/1024/1024,2) | eval totalGB=round(total/1024/1024/1024,2)","chandana-VirtualBox","1655716758.216845",0,splunkjs,0,0,0,1655716758,1,"manager_7681",0,completed,"0.35000000000000003",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57acff4e291500d3a_1655716758.8","| inputlookup dmc_assets | search search_group = ""dmc_group_kv_store""","chandana-VirtualBox","1655716758.224285",0,splunkjs,0,0,0,1655716758,1,"kv-store-role-search",0,completed,"0.251",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD584bbf534d8f9a368_1655716758.9","| rest splunk_server=local /services/server/introspection/kvstore/collectionstats | mvexpand data | spath input=data | fields splunk_server, ns, size","chandana-VirtualBox","1655716758.224941",0,splunkjs,0,0,0,1655716758,29,"manager_7800",0,completed,"0.19",,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1655716758.10","| `dmc_get_all_triggered_alerts(1440)`","chandana-VirtualBox","1655716758.404448",0,splunkjs,0,0,0,1655716758,0,"alerts-fired-search",0,completed,"0.203",,,,,,,,,,,,,,,
