sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1653738420.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653738420.356095",0,0,1653738425,0,0,canceled,"0.186",,,,,,,,,,,
"1653742241.6","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653742241.144175",0,0,1653742241,0,0,canceled,"0.183",,,,,,,,,,,
"1653745620.9","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653745620.598009",0,0,1653745620,0,0,canceled,"0.178",,,,,,,,,,,
"1653749220.14","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653749220.263635",0,0,1653749220,0,0,canceled,"0.179",,,,,,,,,,,
"1653752820.19","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653752820.947429",0,0,1653752820,0,0,canceled,"0.194",,,,,,,,,,,
"1653792420.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653792420.545889",0,0,1653792420,0,0,canceled,"0.228",,,,,,,,,,,
"1653796021.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653796021.128191",0,0,1653796021,0,0,canceled,"0.199",,,,,,,,,,,
"1653806820.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653806820.374543",0,0,1653806820,0,0,canceled,"0.189",,,,,,,,,,,
"1653810420.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653810420.752227",0,0,1653810420,0,0,canceled,"0.179",,,,,,,,,,,
"1653878820.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1653878820.440268",0,0,1653878820,0,0,canceled,"0.178",,,,,,,,,,,
